mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
18,8,307,130,3504,12,1,1,chevrolet chevelle malibu
15,8,350,165,3693,11.5,2,1,buick skylark 320
18,8,318,150,3436,11,3,1,plymouth satellite
16,8,304,150,3433,12,4,1,amc rebel sst
17,8,302,140,3449,10.5,5,1,ford torino
15,8,429,198,4341,10,6,1,ford galaxie 500
14,8,454,220,4354,9,7,1,chevrolet impala
14,8,440,215,4312,8.5,8,1,plymouth fury iii
14,8,455,225,4425,10,9,1,pontiac catalina
15,8,390,190,3850,8.5,10,1,amc ambassador dpl
15,8,383,170,3563,10,11,1,dodge challenger se
14,8,340,160,3609,8,12,1,plymouth 'cuda 340
15,8,400,150,3761,9.5,13,1,chevrolet monte carlo
14,8,455,225,3086,10,14,1,buick estate wagon (sw)
24,4,113,95,2372,15,15,3,toyota corona mark ii
22,6,198,95,2833,15.5,16,1,plymouth duster
18,6,199,97,2774,15.5,17,1,amc hornet
21,6,200,85,2587,16,18,1,ford maverick
27,4,97,88,2130,14.5,19,3,datsun pl510
26,4,97,46,1835,20.5,20,2,volkswagen 1131 deluxe sedan
25,4,110,87,2672,17.5,21,2,peugeot 504
24,4,107,90,2430,14.5,22,2,audi 100 ls
25,4,104,95,2375,17.5,23,2,saab 99e
26,4,121,113,2234,12.5,24,2,bmw 2002
21,6,199,90,2648,15,25,1,amc gremlin
10,8,360,215,4615,14,26,1,ford f250
10,8,307,200,4376,15,27,1,chevy c20
11,8,318,210,4382,13.5,28,1,dodge d200
9,8,304,193,4732,18.5,29,1,hi 1200d
27,4,97,88,2130,14.5,30,3,datsun pl510
28,4,140,90,2264,15.5,31,1,chevrolet vega 2300
25,4,113,95,2228,14,32,3,toyota corona
19,6,232,100,2634,13,33,1,amc gremlin
16,6,225,105,3439,15.5,34,1,plymouth satellite custom
17,6,250,100,3329,15.5,35,1,chevrolet chevelle malibu
19,6,250,88,3302,15.5,36,1,ford torino 500
18,6,232,100,3288,15.5,37,1,amc matador
14,8,350,165,4209,12,38,1,chevrolet impala
14,8,400,175,4464,11.5,39,1,pontiac catalina brougham
14,8,351,153,4154,13.5,40,1,ford galaxie 500
14,8,318,150,4096,13,41,1,plymouth fury iii
12,8,383,180,4955,11.5,42,1,dodge monaco (sw)
13,8,400,170,4746,12,43,1,ford country squire (sw)
13,8,400,175,5140,12,44,1,pontiac safari (sw)
18,6,258,110,2962,13.5,45,1,amc hornet sportabout (sw)
22,4,140,72,2408,19,46,1,chevrolet vega (sw)
19,6,250,100,3282,15,47,1,pontiac firebird
18,6,250,88,3139,14.5,48,1,ford mustang
23,4,122,86,2220,14,49,1,mercury capri 2000
28,4,116,90,2123,14,50,2,opel 1900
30,4,79,70,2074,19.5,51,2,peugeot 304
30,4,88,76,2065,14.5,52,2,fiat 124b
31,4,71,65,1773,19,53,3,toyota corolla 1200
35,4,72,69,1613,18,54,3,datsun 1200
27,4,97,60,1834,19,55,2,volkswagen model 111
26,4,91,70,1955,20.5,56,1,plymouth cricket
24,4,113,95,2278,15.5,57,3,toyota corona hardtop
25,4,97.5,80,2126,17,58,1,dodge colt hardtop
23,4,97,54,2254,23.5,59,2,volkswagen type 3
